FILA 01,FILA 01,FILA 01
7311,10.0.84.139,D0:94:66:DC:A3:FA
7372,10.0.84.111,D0:94:66:DC:A4:09
7386,10.0.84.112,D0:94:66:DC:A4:F5
7369,10.0.84.113,D0:94:66:DC:A3:F0
7399,10.0.84.114,D0:94:66:DC:A2:37
FILA 02,FILA 02,FILA 02
7401,10.0.84.119,D0:94:66:DC:A4:FE
7376,10.0.84.118,D0:94:66:DC:A3:FC
7368,10.0.84.117,D0:94:66:DC:A2:27
7382,10.0.84.116,D0:94:66:DC:A3:F7
7378,10.0.84.115,D0:94:66:DC:A3:DC
FILA 03,FILA 03,FILA 03
7384,10.0.84.120,D0:94:66:DC:A4:FA
7388,10.0.84.121,D0:94:66:DC:A2:92
7414,10.0.84.122,D0:94:66:DC:A4:41
7427,10.0.84.123,D0:94:66:DC:A4:20
7420,10.0.84.124,D0-94-66-DC-A4-36
FILA 04,FILA 04,FILA 04
7389,10.0.84.129,D0:94:66:DC:A2:24
7383,10.0.84.128,D0:94:66:DC:A4:70
7454,10.0.84.127,D0:94:66:DC:A2:93
7380,10.0.84.126,D0:94:66:DC:A2:AC
7402,10.0.84.125,D0:94:66:DC:A4:FD
FILA 05,FILA 05,FILA 05
7394,10.0.84.130,D0:94:66:DC:A3:FF
7395,10.0.84.140,D0:94:66:DC:A3:C6
7392,10.0.84.131,D0:94:66:DC:A3:EF
7362,10.0.84.136,D0-94-66-DC-A3-FB
7403,10.0.84.133,D0-94-66-DC-A4-1D
FILA 06,FILA 06,FILA 06
7387,10.0.84.138,D0-94-66-DC-A4-05
7391,10.0.84.137,D0-94-66-DC-A3-CB
7393,MÁQUINA NA DTI,
7373,10.0.84.135,D0:94:66:DC:97:52
7370,10.0.84.134,D0:94:66:DC:A2:02
7400_Professor,10.0.84.110,D0-94-66-DC-A2-BE
