FILA 01,FILA 01,MAC ADDRESS
7313,10.0.84.23,D0:94:66:DC:A5:37
7461,10.0.84.24,E4:54:E8:85:9F:3D
7437,10.0.84.25,D0:94:66:DC:A3:D8
7418,10.0.84.26,D0:94:66:DC:A4:14
7474,10.0.84.27,D0:94:66:DC:A3:8A
FILA 02,FILA 02,FILA 02
7464,10.0.84.28,D0:94:66:DC:A4:E1
7473,10.0.84.29,D0:94:66:DC:A4:37
7468,10.0.84.30,D0:94:66:DC:A4:E5
7434,10.0.84.31,E4:54:E8:85:A2:8D
7448,10.0.84.32,D0:94:66:DC:9F:83
FILA 03,FILA 03,FILA 03
7421,10.0.84.33,D0:94:66:DC:A4:1A
7439,10.0.84.180,D0:94:66:DC:A3:BC
7451,10.0.84.35,D0:94:66:DC:A2:45
7463,10.0.84.36,D0:94:66:DC:A4:30
7459,10.0.84.37,D0:94:66:DC:A3:31
FILA 04,FILA 04,FILA 04
7467,10.0.84.38,D0:94:66:DC:A3:E8
7429,10.0.84.39,D0:94:66:DC:9E:40
7458,10.0.84.40,D0:94:66:DC:A3:D2
7424,10.0.84.41,D0:94:66:DC:A4:1C
7432,10.0.84.42,D0:94:66:DC:A3:C1
FILA 05,FILA 05,FILA 05
7450,10.0.84.44,D0:94:66:DC:A4:EF
7465,10.0.84.14,D0:94:66:DC:A3:33
7472,10.0.84.45,D0:94:66:DC:A4:1F
7462,10.0.84.46,
7431,10.0.84.47,D0:94:66:DC:A4:3E
FILA 06,FILA 06,FILA 06
7430,10.0.84.48,D0:94:66:DC:A4:1E
7475,10.0.84.49,D0:94:66:DC:A5:79
7423,10.0.84.158,D0:94:66:DC:A3:35
7477,10.0.84.51,D0:94:66:DC:A3:C9
7453,10.0.84.52,D0:94:66:DC:A3:ED
Professor_7442,10.0.84.53,D0:94:66:DC:A4:32
